barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-09-0364-01A-02D-0508-04	1	554287	16713074	5782	-0.0174
TCGA-09-0364-01A-02D-0508-04	1	16799711	16838573	6	0.5028
TCGA-09-0364-01A-02D-0508-04	1	16888048	16888048	1	NA
TCGA-09-0364-01A-02D-0508-04	1	16917759	17094475	10	-0.2715
TCGA-09-0364-01A-02D-0508-04	1	17102601	17102601	1	NA
TCGA-09-0364-01A-02D-0508-04	1	17104345	17112697	3	0.9058
TCGA-09-0364-01A-02D-0508-04	1	17114337	21366247	1829	-0.0356
TCGA-09-0364-01A-02D-0508-04	1	21368889	21383657	7	0.3448
TCGA-09-0364-01A-02D-0508-04	1	21387700	25171701	1539	0.0071
TCGA-09-0364-01A-02D-0508-04	1	25173391	33818592	3338	-0.4312
TCGA-09-0364-01A-02D-0508-04	1	33819877	33830748	6	-0.111
TCGA-09-0364-01A-02D-0508-04	1	33832571	34869589	372	-0.5307
TCGA-09-0364-01A-02D-0508-04	1	34876833	34881595	3	-3.4507
TCGA-09-0364-01A-02D-0508-04	1	34883375	37124322	927	-0.4659
TCGA-09-0364-01A-02D-0508-04	1	37127665	41036484	1517	0.7891
TCGA-09-0364-01A-02D-0508-04	1	41038108	42007575	396	0.3175
TCGA-09-0364-01A-02D-0508-04	1	42009596	42524532	195	0.5889
TCGA-09-0364-01A-02D-0508-04	1	42526498	44224138	706	0.3224
TCGA-09-0364-01A-02D-0508-04	1	44225943	59635571	6172	-0.4481
TCGA-09-0364-01A-02D-0508-04	1	59637163	59781622	66	-0.0076
TCGA-09-0364-01A-02D-0508-04	1	59783668	72533804	5014	-0.4536
TCGA-09-0364-01A-02D-0508-04	1	72533856	72537426	4	-2.4648
TCGA-09-0364-01A-02D-0508-04	1	72539143	72579311	14	0.9461
TCGA-09-0364-01A-02D-0508-04	1	72589682	75311921	628	-0.5232
TCGA-09-0364-01A-02D-0508-04	1	75319108	75427361	44	-1.179
TCGA-09-0364-01A-02D-0508-04	1	75428660	86116103	3529	-0.4375
TCGA-09-0364-01A-02D-0508-04	1	86124953	86336823	92	0.0464
TCGA-09-0364-01A-02D-0508-04	1	86338407	102079376	5436	-0.4508
TCGA-09-0364-01A-02D-0508-04	1	102083093	102083093	1	NA
TCGA-09-0364-01A-02D-0508-04	1	102084501	104467332	468	-0.0165
TCGA-09-0364-01A-02D-0508-04	1	104472209	110033018	1506	0.334
TCGA-09-0364-01A-02D-0508-04	1	110034542	110041712	3	1.4655
TCGA-09-0364-01A-02D-0508-04	1	110058441	116028595	2220	0.3312
TCGA-09-0364-01A-02D-0508-04	1	116029725	116033402	3	1.207
TCGA-09-0364-01A-02D-0508-04	1	116035435	120329400	1590	0.3455
TCGA-09-0364-01A-02D-0508-04	1	120331193	143799153	149	0.0432
TCGA-09-0364-01A-02D-0508-04	1	143800457	146218660	572	0.3145
TCGA-09-0364-01A-02D-0508-04	1	146226366	147203277	21	-0.0396
TCGA-09-0364-01A-02D-0508-04	1	147306304	147306304	1	NA
TCGA-09-0364-01A-02D-0508-04	1	147308557	150823073	1294	0.3334
TCGA-09-0364-01A-02D-0508-04	1	150836481	150851439	10	2.7428
TCGA-09-0364-01A-02D-0508-04	1	150852858	151026228	78	0.3208
TCGA-09-0364-01A-02D-0508-04	1	151028700	151036435	4	1.1701
TCGA-09-0364-01A-02D-0508-04	1	151038091	157133150	2679	0.33
TCGA-09-0364-01A-02D-0508-04	1	157134796	157136342	2	-3.6994
TCGA-09-0364-01A-02D-0508-04	1	157138568	167483267	4108	0.317
TCGA-09-0364-01A-02D-0508-04	1	167493768	167507898	8	-3.1309
TCGA-09-0364-01A-02D-0508-04	1	167520743	175666724	3304	0.3305
TCGA-09-0364-01A-02D-0508-04	1	175670457	179694500	1516	0.0147
TCGA-09-0364-01A-02D-0508-04	1	179696436	179698210	2	-0.9455
TCGA-09-0364-01A-02D-0508-04	1	179702422	179702422	1	NA
TCGA-09-0364-01A-02D-0508-04	1	179702660	185979586	2386	0.0088
TCGA-09-0364-01A-02D-0508-04	1	185984652	185988138	2	1.0219
TCGA-09-0364-01A-02D-0508-04	1	186000612	190006782	805	-0.0395
TCGA-09-0364-01A-02D-0508-04	1	190020971	190140483	20	0.3241
TCGA-09-0364-01A-02D-0508-04	1	190142684	194978218	1144	-0.0279
TCGA-09-0364-01A-02D-0508-04	1	195009358	195065867	9	-0.8174
TCGA-09-0364-01A-02D-0508-04	1	195091758	200602881	2160	9e-04
