File Column Name,Field Type,Entity Type,CDE ID,CDE Version,Annotation Def Name,Data Type,Permissible,Visible
BCRPATIENTBARCODE,identifier,subject,,,BCRPATIENTBARCODE,string,no,yes
TUMORTISSUESITE,annotation,subject,,,TUMORTISSUESITE,string,yes,yes
GENDER,annotation,subject,,,GENDER,string,yes,yes
PRETREATMENTHISTORY,annotation,subject,,,PRETREATMENTHISTORY,string,yes,yes
HISTOLOGICALTYPE,annotation,subject,,,HISTOLOGICALTYPE,string,yes,yes
PRIORGLIOMA,annotation,subject,,,PRIORGLIOMA,string,yes,yes
VITALSTATUS,annotation,subject,,,VITALSTATUS,string,yes,yes
DAYSTOBIRTH,annotation,subject,,,DAYSTOBIRTH,numeric,no,yes
DAYSTODEATH,annotation,subject,,,DAYSTODEATH,numeric,no,yes
DAYSTOLASTFOLLOWUP,annotation,subject,,,DAYSTOLASTFOLLOWUP,numeric,no,yes
INFORMEDCONSENTVERIFIED,annotation,subject,,,INFORMEDCONSENTVERIFIED,string,yes,yes
AGEATINITIALPATHOLOGICDIAGNOSIS,annotation,subject,,,AGEATINITIALPATHOLOGICDIAGNOSIS,numeric,no,yes
RADIATIONTHERAPY,annotation,subject,,,RADIATIONTHERAPY,string,yes,yes
CHEMOTHERAPY,annotation,subject,,,CHEMOTHERAPY,string,yes,yes
IMMUNOTHERAPY,annotation,subject,,,IMMUNOTHERAPY,string,yes,yes
HORMONALTHERAPY,annotation,subject,,,HORMONALTHERAPY,string,yes,yes
TARGETEDMOLECULARTHERAPY,annotation,subject,,,TARGETEDMOLECULARTHERAPY,string,yes,yes
DAYSTOTUMORPROGRESSION,annotation,subject,,,DAYSTOTUMORPROGRESSION,numeric,no,yes
DAYSTOTUMORRECURRENCE,annotation,subject,,,DAYSTOTUMORRECURRENCE,numeric,no,yes
SITEOFTUMORFIRSTRECURRENCE,annotation,subject,,,SITEOFTUMORFIRSTRECURRENCE,string,yes,yes
TUMORSTAGE,annotation,subject,,,TUMORSTAGE,string,yes,yes
TUMORGRADE,annotation,subject,,,TUMORGRADE,string,yes,yes
RESIDUALTUMOR,annotation,subject,,,RESIDUALTUMOR,string,yes,yes
TUMORRESIDUALDISEASE,annotation,subject,,,TUMORRESIDUALDISEASE,string,yes,yes
PRIMARYTHERAPYOUTCOMESUCCESS,annotation,subject,,,PRIMARYTHERAPYOUTCOMESUCCESS,string,yes,yes
ADDITIONALRADIATIONTHERAPY,annotation,subject,,,ADDITIONALRADIATIONTHERAPY,string,yes,yes
