File Column Name,Field Type,Entity Type,CDE ID,CDE Version,Annotation Def Name,Data Type,Permissible,Visible
CDNA_T1,annotation,subject,,,CDNA_T1,string,yes,Yes
CDNA_T2,annotation,subject,,,CDNA_T2,string,yes,yes
CDNA_T3,annotation,subject,,,CDNA_T3,string,yes,yes
CDNA_T4,annotation,subject,,,CDNA_T4,string,yes,yes
AGI_T1,annotation,subject,,,AGI_T1,string,yes,yes
AGI_T2,annotation,subject,,,AGI_T2,string,yes,Yes
AGI_T3,annotation,subject,,,AGI_T3,string,yes,yes
AGI_T4,annotation,subject,,,AGI_T4,string,yes,yes
IHC_T1,annotation,subject,,,IHC_T1,string,yes,yes
IHC_T2,annotation,subject,,,IHC_T2,string,yes,yes
IHC_T3,annotation,subject,,,IHC_T3,string,yes,yes
IHC_T4,annotation,subject,,,IHC_T4,string,yes,yes
FISH_T1,annotation,subject,,,FISH_T1,string,yes,yes
FISH_T2,annotation,subject,,,FISH_T2,string,yes,yes
FISH_T3,annotation,subject,,,FISH_T3,string,yes,yes
FISH_T4,annotation,subject,,,FISH_T4,string,yes,yes
P53_T1,annotation,subject,,,P53_T1,string,yes,yes
P53_MUTATION_STATUS_T1,annotation,subject,,,P53_MUTATION_STATUS_T1,string,yes,yes
MUTATION_TYPE_T1,annotation,subject,,,MUTATION_TYPE_T1,string,yes,yes
EXON_INTRON_LOCATION_T1,annotation,subject,,,EXON_INTRON_LOCATION_T1,string,yes,yes
BASE_CHANGE_T1,annotation,subject,,,BASE_CHANGE_T1,string,yes,yes
CODON_AMINO_ACID_CHANGE_T1,annotation,subject,,,CODON_AMINO_ACID_CHANGE_T1,string,yes,yes
PROTEIN_STRUCTURAL_DOMAIN_T1,annotation,subject,,,PROTEIN_STRUCTURAL_DOMAIN_T1,string,yes,yes
P53_T2,annotation,subject,,,P53_T2,string,yes,yes
P53_MUTATION_STATUS_T2,annotation,subject,,,P53_MUTATION_STATUS_T2,string,yes,yes
MUTATION_TYPE_T2,annotation,subject,,,MUTATION_TYPE_T2,string,yes,yes
EXON_INTRON_LOCATION_T2,annotation,subject,,,EXON_INTRON_LOCATION_T2,string,yes,yes
BASE_CHANGE_T2,annotation,subject,,,BASE_CHANGE_T2,string,yes,yes
CODON_AMINO_ACID_CHANGE_T2,annotation,subject,,,CODON_AMINO_ACID_CHANGE_T2,string,yes,yes
ROTEIN_STRUCTURAL_DOMAIN_T2,annotation,subject,,,ROTEIN_STRUCTURAL_DOMAIN_T2,string,yes,yes
P53_T3,annotation,subject,,,P53_T3,string,yes,yes
P53_MUTATION_STATUS_T3,annotation,subject,,,P53_MUTATION_STATUS_T3,string,yes,yes
MUTATION_TYPE_T3,annotation,subject,,,MUTATION_TYPE_T3,string,yes,yes
EXON_INTRON_LOCATION_T3,annotation,subject,,,EXON_INTRON_LOCATION_T3,string,yes,yes
BASE_CHANGE_T3,annotation,subject,,,BASE_CHANGE_T3,string,yes,yes
CODON_AMINO_ACID_CHANGE_T3,annotation,subject,,,CODON_AMINO_ACID_CHANGE_T3,string,yes,yes
PROTEIN_STRUCTURAL_DOMAIN_T3,annotation,subject,,,PROTEIN_STRUCTURAL_DOMAIN_T3,string,yes,yes
P53_T4,annotation,subject,,,P53_T4,string,yes,yes
P53_MUTATION_STATUS_T4,annotation,subject,,,P53_MUTATION_STATUS_T4,string,yes,yes
MUTATION_TYPE_T4,annotation,subject,,,MUTATION_TYPE_T4,string,yes,yes
EXON_INTRON_LOCATION_T4,annotation,subject,,,EXON_INTRON_LOCATION_T4,string,yes,yes
BASE_CHANGE_T4,annotation,subject,,,BASE_CHANGE_T4,string,yes,yes
CODON_AMINO_ACID_CHANGE_T4,annotation,subject,,,CODON_AMINO_ACID_CHANGE_T4,string,yes,yes
PROTEIN_STRUCTURAL_DOMAIN_T4,annotation,subject,,,PROTEIN_STRUCTURAL_DOMAIN_T4,string,yes,yes
